Barcode,DT,Process_id,Station_id,Upper,Lower,Left,Right,Result,Printtext,Barcodetext,ManualUpper,ManualLower,ManualLeft,ManualRight,ManualResult
A123,07/11/25 20:26,4,1,0,0,0,0,0,0,fbajsbf,0,1,0,1,0
B123,08/11/25 20:26,4,1,0,0,0,1,0,1,mnflaksdnfl,0,1,0,0,0
C123,09/11/25 20:26,4,1,0,0,0,0,0,0,sdfasdlknf,0,1,1,1,0
D123,10/11/25 20:26,4,1,0,0,1,1,0,1,sfmsdklfn,1,0,1,0,0
E123,11/11/25 20:26,4,1,0,0,1,0,0,0,fdnsaoivnla,1,0,1,1,0
F123,12/11/25 20:26,4,1,0,0,1,1,0,0,nvsdakpvna,1,0,0,0,0
G123,13/11/25 20:26,4,1,0,1,0,0,0,0,vndasklva,1,0,0,1,0
H123,14/11/25 20:26,4,1,0,1,0,1,0,1,vgoihergba,0,0,0,0,0
H123,15/11/25 20:26,4,1,0,1,0,0,0,0,vniogrb,1,1,0,0,0
H123,16/11/25 20:26,4,1,0,1,1,1,0,1,asioughwo,1,0,0,1,0
H123,17/11/25 20:26,4,1,1,0,1,0,0,0,vjewioprfgh,1,1,0,1,0
H123,18/11/25 20:26,4,1,1,0,1,1,0,0,nfwuiogb,0,0,0,1,0
H123,19/11/25 20:26,4,1,1,0,0,0,0,0,wobuo4tu4,0,1,0,1,0
H123,20/11/25 20:26,4,1,1,0,0,1,0,0,irbgoq,0,0,1,0,1
H123,21/11/25 20:26,4,1,1,0,0,0,0,0,hugierhg,0,0,0,0,1
H123,22/11/25 20:26,4,1,1,1,1,1,1,1,h9wqrgfiou,1,1,0,0,0
H123,23/11/25 20:26,4,1,1,1,1,0,1,0,gueryirg,1,0,0,0,0
H123,24/11/25 20:26,4,1,1,1,1,1,1,1,gweroh,1,1,1,1,1
H123,25/11/25 20:26,4,1,1,1,1,1,1,0,ghegtq3b4j,1,1,1,1,1
H123,26/11/25 20:26,4,1,1,1,1,1,1,1,9t4yqgkwhei,1,1,1,1,1
