Barcode,DT,Process_id,Station_id,Antenna,Capacitor,Speaker,Result,ManualAntenna,ManualCapacitor,ManualSpeaker,ManualResult
A123,06/11/25 20:14,2,1,0,0,0,0,0,0,0,0
B123,06/11/25 20:14,2,1,0,0,0,0,0,0,0,0
C123,06/11/25 20:14,2,1,0,0,0,0,0,1,0,0
D123,06/11/25 20:14,2,1,0,0,1,0,0,0,0,0
E123,06/11/25 20:14,2,1,0,0,1,0,0,0,0,0
F123,06/11/25 20:14,2,1,0,1,0,0,0,1,0,0
G123,06/11/25 20:14,2,1,0,1,0,0,1,0,1,0
H123,06/11/25 20:14,2,1,0,1,1,0,1,0,1,0
H123,06/11/25 20:14,2,1,0,1,1,0,1,1,0,0
H123,06/11/25 20:14,2,1,1,0,0,0,1,1,1,1
H123,06/11/25 20:14,2,1,1,0,0,0,0,0,1,0
H123,06/11/25 20:14,2,1,1,0,1,0,0,1,1,0
H123,06/11/25 20:14,2,1,1,0,1,0,1,0,1,0
H123,06/11/25 20:14,2,1,1,0,1,0,0,0,0,0
H123,06/11/25 20:14,2,1,1,1,0,0,0,0,1,0
H123,06/11/25 20:14,2,1,1,1,0,0,0,1,1,0
H123,06/11/25 20:14,2,1,1,1,1,1,1,1,1,1
H123,06/11/25 20:14,2,1,1,1,1,1,0,1,1,0
H123,06/11/25 20:14,2,1,1,1,1,1,1,0,1,0
